zone_id,year,month,min,max,mean,count,sum,std
1,1985,1,13.0,61.94819641113281,31.048828125,1152,35768.25,11.717731517931318
2,1985,1,0.0,65.26505279541016,40.12110053168403,1152,46219.5078125,11.656642975207411
3,1985,1,9.0,48.0,30.94460494429977,1728,53472.27734375,9.226551905736509
1,1985,2,6.292837619781494,39.0,19.36461724175347,1152,22308.0390625,7.703215654419706
2,1985,2,0.0,64.0,30.268442789713543,1152,34869.24609375,8.76674920641804
3,1985,2,5.0,48.0,23.81604908130787,1728,41154.1328125,12.049780740567467
1,1985,3,4.0,52.0,17.753597683376736,1152,20452.14453125,11.359442338879996
2,1985,3,0.0,32.0,11.37635718451606,1152,13105.5634765625,5.759410220953926
3,1985,3,14.000000953674316,68.0,39.027090567129626,1728,67438.8125,13.710863929059178
1,1985,4,1.4808893203735352,39.0,10.27496337890625,1152,11836.7578125,7.22597284109823
2,1985,4,0.0,53.999996185302734,21.688756306966145,1152,24985.447265625,10.813229873082115
3,1985,4,13.0,62.0,31.927662037037038,1728,55171.0,10.081093578145044
1,1985,5,0.0,0.0,0.0,1152,0.0,0.0
2,1985,5,0.0,0.0,0.0,1152,0.0,0.0
3,1985,5,0.0,13.0,6.923032407407407,1728,11963.0,2.657401800613768
1,1985,6,0.0,0.0,0.0,1152,0.0,0.0
2,1985,6,0.0,8.0,2.609375,1152,3006.0,2.4231627745838367
3,1985,6,0.0,7.000000476837158,1.1915509259259258,1728,2059.0,1.8561703755917158
1,1985,7,17.0,107.99999237060547,43.76555379231771,1152,50417.91796875,18.746971473810202
2,1985,7,0.0,155.00196838378906,87.35220675998264,1152,100629.7421875,22.523680975255616
3,1985,7,16.0,113.00000762939453,54.62847222222222,1728,94398.0,24.5662071238244
1,1985,8,9.728155136108398,38.0,18.24994405110677,1152,21023.935546875,5.300624671196869
2,1985,8,0.0,86.0,49.678812662760414,1152,57229.9921875,14.263478847122991
3,1985,8,9.0,43.0,21.776041666666668,1728,37629.0,8.368548052702264
1,1985,9,30.0,120.0,56.641259087456596,1152,65250.73046875,22.700372783704275
2,1985,9,0.0,119.0,70.39516872829861,1152,81095.234375,17.738666054647577
3,1985,9,21.0,90.0,47.16550925925926,1728,81502.0,16.442004329376733
1,1985,10,20.362171173095703,75.0,39.399136013454864,1152,45387.8046875,13.764848169789596
2,1985,10,0.0,93.0,58.343221028645836,1152,67211.390625,11.239554342233895
3,1985,10,16.0,64.0,38.552083333333336,1728,66618.0,11.632870452330625
1,1985,11,31.894290924072266,86.9913558959961,61.28190782335069,1152,70596.7578125,12.071556048109155
2,1985,11,0.0,80.0,47.56512790256076,1152,54795.02734375,11.060391060290176
3,1985,11,26.999998092651367,73.67984008789062,50.5657054759838,1728,87377.5390625,10.480957187632148
1,1985,12,11.068603515625,42.0,25.243299696180557,1152,29080.28125,6.200509160218808
2,1985,12,0.0,28.000001907348633,13.565109252929688,1152,15627.005859375,5.246199052591098
3,1985,12,3.0,23.0,7.3188657407407405,1728,12647.0,4.080306794863996
1,1986,1,1.159714937210083,9.0,5.871281094021267,1152,6763.7158203125,1.2956745893109256
2,1986,1,0.0,14.000000953674316,6.152183956570095,1152,7087.31591796875,1.5823602089466466
3,1986,1,0.0,10.0,3.9791666666666665,1728,6876.0,2.939912396518042
1,1986,2,15.0,70.91844940185547,38.35828993055556,1152,44188.75,13.175305296323577
2,1986,2,0.0,72.87120819091797,38.48637559678819,1152,44336.3046875,10.690546010205443
3,1986,2,8.0,54.88373565673828,31.00300654658565,1728,53573.1953125,12.482752711934587
1,1986,3,15.0,94.0,46.04100206163194,1152,53039.234375,21.635639636908756
2,1986,3,0.0,94.02802276611328,40.24218410915799,1152,46358.99609375,14.398495551050823
3,1986,3,13.0,92.704833984375,48.624679000289355,1728,84023.4453125,21.883971555895673
1,1986,4,0.0,10.0,2.3491672939724393,1152,2706.24072265625,2.7440981248112766
2,1986,4,0.0,15.0,6.054779476589626,1152,6975.10595703125,2.7430053250340403
3,1986,4,4.0,40.0,16.94212962962963,1728,29276.0,8.433090808638902
1,1986,5,0.0,9.0,1.3219943576388888,1152,1522.9375,2.0945990785101505
2,1986,5,0.0,11.0,4.567240397135417,1152,5261.4609375,2.171582251383685
3,1986,5,4.0,20.0,8.866898148148149,1728,15322.0,3.5571871623538165
1,1986,6,0.0,18.0,5.5607422722710504,1152,6405.97509765625,4.5785162647002515
2,1986,6,0.0,26.999998092651367,10.605377197265625,1152,12217.39453125,6.291123516349459
3,1986,6,6.0,38.0,16.886574074074073,1728,29180.0,5.981635065910576
1,1986,7,25.0,90.0,39.74860636393229,1152,45790.39453125,12.548957664799374
2,1986,7,0.0,139.0,81.77357313368056,1152,94203.15625,23.12029839757106
3,1986,7,17.0,114.00000762939453,56.248842592592595,1728,97198.0,23.201624645477352
1,1986,8,20.0,106.99999237060547,46.0340576171875,1152,53031.234375,18.533136153321976
2,1986,8,0.0,147.4209747314453,100.38689507378473,1152,115645.703125,27.3335640708882
3,1986,8,28.000001907348633,125.59529113769531,68.79731807002315,1728,118881.765625,27.54148032676725
1,1986,9,9.0,49.0,22.554634941948784,1152,25982.939453125,9.686305022838418
2,1986,9,0.0,52.0,25.97338189019097,1152,29921.3359375,9.247336347844024
3,1986,9,26.0,97.0,51.4849537037037,1728,88966.0,17.698700159664398
1,1986,10,16.0,65.0,32.759358723958336,1152,37738.78125,12.459243127693252
2,1986,10,0.0,59.0,26.660335964626736,1152,30712.70703125,6.50270787488769
3,1986,10,19.0,62.0,38.260995370370374,1728,66115.0,9.524374385380387
