zone_id,year,month,min,max,mean,count,sum,std
1,2000,1,0.0,151.12586975097656,11.007333286830358,2800,30820.533203125,36.593640799755455
2,2000,1,0.0,167.28268432617188,91.91375,8000,735310.0,42.20366309709041
1,2000,2,0.0,156.7254180908203,8.477605329241072,2800,23737.294921875,28.444259997172356
2,2000,2,0.0,152.53981018066406,92.725421875,8000,741803.375,32.68804175464527
1,2000,3,0.0,141.74522399902344,8.928046177455357,2800,24998.529296875,29.917269566677884
2,2000,3,0.0,152.66229248046875,102.8594921875,8000,822875.9375,36.681474131775204
1,2000,4,0.0,140.19395446777344,9.413863699776785,2800,26358.818359375,31.474207370922443
2,2000,4,0.0,157.3751678466797,114.7431875,8000,917945.5,36.741715606350795
1,2000,5,0.0,140.25885009765625,9.383365652901785,2800,26273.423828125,31.56164870385345
2,2000,5,0.0,160.3497314453125,115.94771875,8000,927581.75,37.561539045170925
1,2000,6,0.0,144.42750549316406,9.270309012276785,2800,25956.865234375,30.824726578912653
2,2000,6,0.0,157.98818969726562,88.804875,8000,710439.0,41.84649378429451
1,2000,7,0.0,122.46998596191406,8.211764090401786,2800,22992.939453125,27.472357181686128
2,2000,7,0.0,137.1238250732422,57.695453125,8000,461563.625,33.70958125154673
1,2000,8,0.0,107.92835235595703,8.151550641741071,2800,22824.341796875,27.167754546508625
2,2000,8,0.0,148.6812286376953,71.8896953125,8000,575117.5625,32.014972630351096
1,2000,9,0.0,155.32852172851562,11.609361049107143,2800,32506.2109375,38.55221521787061
2,2000,9,0.0,157.99136352539062,88.8389296875,8000,710711.4375,39.965673083257876
1,2000,10,0.0,170.6396026611328,13.002469308035714,2800,36406.9140625,43.219177593398314
2,2000,10,0.0,175.59652709960938,121.768671875,8000,974149.375,37.012805624597696
1,2000,11,0.0,137.93817138671875,9.431240234375,2800,26407.47265625,31.43905404742542
2,2000,11,0.0,153.88226318359375,102.8536171875,8000,822828.9375,36.63681809269619
1,2000,12,0.0,150.0103302001953,10.985962611607142,2800,30760.6953125,36.625776431662516
2,2000,12,0.0,158.6605224609375,93.5340859375,8000,748272.6875,33.67389919354808
1,2001,1,0.0,158.70504760742188,12.567592075892858,2800,35189.2578125,41.631355193448336
2,2001,1,0.0,164.38650512695312,121.382734375,8000,971061.875,35.865154522334905
1,2001,2,0.0,154.0819549560547,10.664043666294642,2800,29859.322265625,35.47583060868201
2,2001,2,0.0,165.961181640625,102.4474375,8000,819579.5,34.689907864882485
1,2001,3,0.0,142.65562438964844,10.159340122767857,2800,28446.15234375,33.806617071141204
2,2001,3,0.0,163.75146484375,109.7040625,8000,877632.5,32.58283089556156
1,2001,4,0.0,155.92079162597656,11.068566545758928,2800,30991.986328125,37.13064345904938
2,2001,4,0.0,169.0107879638672,105.49471875,8000,843957.75,45.471611542251246
1,2001,5,0.0,129.45132446289062,8.448309151785715,2800,23655.265625,28.628902667027116
2,2001,5,0.0,153.50621032714844,55.254484375,8000,442035.875,35.52973782036735
1,2001,6,0.0,110.62312316894531,7.502857142857143,2800,21008.0,24.91888167478067
2,2001,6,0.0,147.49069213867188,77.42078125,8000,619366.25,32.252140292725905
1,2001,7,0.0,140.71099853515625,9.922337472098214,2800,27782.544921875,33.126443013009954
2,2001,7,0.0,145.02188110351562,55.8687265625,8000,446949.8125,37.70915753420426
1,2001,8,0.0,91.12494659423828,4.902743094308036,2800,13727.6806640625,16.536112886468782
2,2001,8,0.0,138.89169311523438,80.8448671875,8000,646758.9375,29.289583638763002
1,2001,9,0.0,153.8301239013672,10.843802315848214,2800,30362.646484375,36.05915842323318
2,2001,9,0.0,173.48509216308594,108.22153125,8000,865772.25,40.22367961423331
1,2001,10,0.0,152.55606079101562,10.883077566964285,2800,30472.6171875,36.365967517153926
2,2001,10,0.0,165.10165405273438,116.571515625,8000,932572.125,35.01171440123309
1,2001,11,0.0,150.10935974121094,10.553120814732143,2800,29548.73828125,35.19455168351939
2,2001,11,0.0,157.49757385253906,106.3205078125,8000,850564.0625,32.33768596847424
1,2001,12,0.0,125.98987579345703,8.430492466517856,2800,23605.37890625,28.244516303521376
2,2001,12,0.0,138.33502197265625,61.06332421875,8000,488506.59375,27.1801280850461
1,2002,1,0.0,151.8542022705078,10.16033203125,2800,28448.9296875,33.73649136134556
2,2002,1,0.0,153.235107421875,96.423109375,8000,771384.875,30.623134949461623
1,2002,2,0.0,99.770751953125,5.223699428013393,2800,14626.3583984375,17.44884951088579
2,2002,2,0.0,138.65309143066406,67.929125,8000,543433.0,28.800958758810697
1,2002,3,0.0,150.78326416015625,10.656195591517857,2800,29837.34765625,35.69796209310339
2,2002,3,0.0,179.488037109375,135.55940625,8000,1084475.25,38.82697065654755
1,2002,4,0.0,151.9772491455078,9.557576729910714,2800,26761.21484375,32.009252290850014
2,2002,4,0.0,175.95358276367188,127.027671875,8000,1016221.375,42.055319601387815
1,2002,5,0.0,151.99270629882812,10.979615652901785,2800,30742.923828125,36.578958303356906
2,2002,5,0.0,164.64398193359375,94.534765625,8000,756278.125,35.456302765320395
1,2002,6,0.0,151.2722625732422,11.746011439732143,2800,32888.83203125,39.09176984359452
2,2002,6,0.0,151.6144256591797,58.80392578125,8000,470431.40625,43.12174712251297
1,2002,7,0.0,142.4314422607422,9.843505859375,2800,27561.81640625,33.008782709410866
2,2002,7,0.0,150.64080810546875,89.971703125,8000,719773.625,37.04135049053837
1,2002,8,0.0,129.68405151367188,8.92232142857143,2800,24982.5,29.81322266541115
2,2002,8,0.0,150.3690185546875,76.1607734375,8000,609286.1875,32.75766806865078
1,2002,9,0.0,149.7859649658203,10.07498046875,2800,28209.9453125,33.570681310770404
2,2002,9,0.0,160.15988159179688,86.8746171875,8000,694996.9375,41.02416811722266
1,2002,10,0.0,170.6571807861328,13.136022600446429,2800,36780.86328125,43.548855369313586
2,2002,10,0.0,170.94493103027344,121.423140625,8000,971385.125,41.675478338414905
1,2002,11,0.0,154.26617431640625,11.991187220982143,2800,33575.32421875,39.8255876266339
2,2002,11,0.0,172.56536865234375,127.4940625,8000,1019952.5,36.414600160141426
1,2002,12,0.0,159.62355041503906,12.610408761160715,2800,35309.14453125,41.7773653871934
2,2002,12,0.0,171.9508056640625,133.216015625,8000,1065728.125,36.09387256858807
1,2003,1,0.0,125.63349151611328,8.1794677734375,2800,22902.509765625,27.37481344036314
2,2003,1,0.0,159.986083984375,74.8010546875,8000,598408.4375,37.9943926860267
1,2003,2,0.0,159.33489990234375,12.373920200892858,2800,34646.9765625,41.04069641146234
2,2003,2,0.0,164.36476135253906,108.6912890625,8000,869530.3125,43.31897773425572
1,2003,3,0.0,140.7498016357422,9.575998186383929,2800,26812.794921875,31.92792748418676
2,2003,3,0.0,165.11703491210938,117.63309375,8000,941064.75,36.21890449294829
1,2003,4,0.0,131.82037353515625,6.884851422991072,2800,19277.583984375,23.526679529041097
2,2003,4,0.0,164.19081115722656,105.352796875,8000,842822.375,39.364832205909856
1,2003,5,0.0,68.35323333740234,4.55675048828125,2800,12758.9013671875,15.302783108188656
2,2003,5,0.0,150.41883850097656,74.340390625,8000,594723.125,35.69730848171535
1,2003,6,0.0,134.595703125,8.566358119419643,2800,23985.802734375,28.60458614709824
2,2003,6,0.0,134.30030822753906,59.75696875,8000,478055.75,29.583393376877616
1,2003,7,0.0,114.21546936035156,7.330322265625,2800,20524.90234375,25.017229257060237
2,2003,7,0.0,131.3745880126953,55.59498046875,8000,444759.84375,27.310639565570003
1,2003,8,0.0,66.63907623291016,4.115265066964286,2800,11522.7421875,13.728575203201801
2,2003,8,0.0,123.73709869384766,61.7750390625,8000,494200.3125,30.00384083211251
1,2003,9,0.0,82.10743713378906,5.642807268415178,2800,15799.8603515625,18.79856417417256
2,2003,9,0.0,148.98106384277344,62.20750390625,8000,497660.03125,29.56859177123659
